siteid,sitename,damname,county,township,twd97lon,twd97lat,twd97tm2x,twd97tm2y,sampledate,samplelayer,sampledepth,itemname,itemengabbreviation,itemvalue,itemunit,note
2169,烏山頭水庫一,烏山頭水庫,臺南市,官田區,120.3768010,23.2116180,186213.61,2567853.27,"2025-11-20 12:09:21",表水,0.5,卡爾森指數,CTSI,48,,
2168,曾文水庫六,曾文水庫,嘉義縣,大埔鄉,120.5985270,23.3124950,208939.21,2578944.25,"2025-12-09 11:38:00",表水,0.5,葉綠素a,Chl_a,2.6,μg/L,
2168,曾文水庫六,曾文水庫,嘉義縣,大埔鄉,120.5985270,23.3124950,208939.21,2578944.25,"2025-12-09 11:38:00",表水,0.5,總磷,TP,0.018,mg/L,
2168,曾文水庫六,曾文水庫,嘉義縣,大埔鄉,120.5985270,23.3124950,208939.21,2578944.25,"2025-12-09 11:38:00",表水,0.5,正磷酸鹽,PO4,-,mg/L,
2168,曾文水庫六,曾文水庫,嘉義縣,大埔鄉,120.5985270,23.3124950,208939.21,2578944.25,"2025-12-09 11:38:00",表水,0.5,溶氧飽和度,DOS,86.9,%,
2168,曾文水庫六,曾文水庫,嘉義縣,大埔鄉,120.5985270,23.3124950,208939.21,2578944.25,"2025-12-09 11:38:00",表水,0.5,溶氧(滴定法),DO2,-,mg/L,
2168,曾文水庫六,曾文水庫,嘉義縣,大埔鄉,120.5985270,23.3124950,208939.21,2578944.25,"2025-12-09 11:38:00",表水,0.5,總鹼度,TAlk,-,mg/L,
2168,曾文水庫六,曾文水庫,嘉義縣,大埔鄉,120.5985270,23.3124950,208939.21,2578944.25,"2025-12-09 11:38:00",表水,0.5,總硬度,TH,-,mg/L,
2168,曾文水庫六,曾文水庫,嘉義縣,大埔鄉,120.5985270,23.3124950,208939.21,2578944.25,"2025-12-09 11:38:00",表水,0.5,總氮,TN,0.38,mg/L,
2168,曾文水庫六,曾文水庫,嘉義縣,大埔鄉,120.5985270,23.3124950,208939.21,2578944.25,"2025-12-09 11:38:00",表水,0.5,亞硝酸鹽氮,NO2_N,-,mg/L,
2168,曾文水庫六,曾文水庫,嘉義縣,大埔鄉,120.5985270,23.3124950,208939.21,2578944.25,"2025-12-09 11:38:00",表水,0.5,硝酸鹽氮,NO3_N,-,mg/L,
2168,曾文水庫六,曾文水庫,嘉義縣,大埔鄉,120.5985270,23.3124950,208939.21,2578944.25,"2025-12-09 11:38:00",表水,0.5,總凱氏氮,TKN,-,mg/L,
2168,曾文水庫六,曾文水庫,嘉義縣,大埔鄉,120.5985270,23.3124950,208939.21,2578944.25,"2025-12-09 11:38:00",表水,0.5,有機氮,Norg,-,mg/L,
2168,曾文水庫六,曾文水庫,嘉義縣,大埔鄉,120.5985270,23.3124950,208939.21,2578944.25,"2025-12-09 11:38:00",表水,0.5,氨氮,NH3_N,<0.01,mg/L,
2168,曾文水庫六,曾文水庫,嘉義縣,大埔鄉,120.5985270,23.3124950,208939.21,2578944.25,"2025-12-09 11:38:00",表水,0.5,總有機碳,TOC,1.04,mg/L,
2168,曾文水庫六,曾文水庫,嘉義縣,大埔鄉,120.5985270,23.3124950,208939.21,2578944.25,"2025-12-09 11:38:00",表水,0.5,化學需氧量,COD,<4.0,mg/L,
2168,曾文水庫六,曾文水庫,嘉義縣,大埔鄉,120.5985270,23.3124950,208939.21,2578944.25,"2025-12-09 11:38:00",表水,0.5,溶氧(電極法),DO,7,mg/L,
